0	72	45	64	
0	70	54	63	
0	57	64	76	
0	57	64	76	
0	57	69	75	
0	55	72	77	
0	55	77	76	
0	51	81	80	
0	52	85	79	
0	49	89	82	
0	48	93	83	
0	47	99	83	
0	46	99	83	
0	46	102	82	
0	46	105	82	
0	40	108	88	
0	40	111	88	
0	40	112	88	
0	40	114	87	
0	36	116	90	
0	36	117	89	
0	36	117	88	
0	36	119	86	
7	36	114	86	
9	36	113	85	
13	35	108	84	
18	35	102	83	
19	35	101	82	
26	32	95	81	
29	32	89	82	
32	32	87	80	
36	31	83	80	
38	32	81	79	
40	29	79	79	
41	29	78	79	
45	29	74	77	
44	29	77	74	
44	29	76	76	
52	28	67	75	
52	28	67	73	
53	28	65	72	
54	28	66	71	
54	28	64	70	
54	28	64	70	
54	28	63	69	
55	27	62	68	
59	28	56	67	
59	26	56	68	
59	25	54	68	
60	26	54	65	
59	26	54	65	
59	28	55	62	
59	25	57	64	
59	24	55	64	
60	24	53	63	
60	24	53	61	
60	24	52	60	
60	24	52	61	
60	24	51	59	
60	23	53	60	
61	22	48	61	
61	21	48	61	
62	21	47	61	
62	21	47	61	
62	21	46	61	
62	20	46	57	
841	268	78	39	
841	267	78	40	
832	257	88	50	
742	520	150	20	
830	255	89	53	
728	508	176	32	
831	259	90	48	
713	498	189	42	
833	259	80	48	
707	488	194	52	
833	256	75	51	
680	478	208	62	
693	469	212	71	
671	450	225	90	
666	450	222	90	
660	443	218	97	
655	434	218	106	
646	427	224	113	
638	420	231	120	
632	406	235	134	
626	403	240	137	
612	398	253	142	
604	391	261	149	
604	385	261	155	
596	378	268	162	
588	371	267	169	
580	365	267	175	
572	359	269	181	
556	352	277	188	
555	346	259	194	
548	340	266	200	
541	337	268	203	
532	328	253	205	
526	322	251	206	
516	316	249	199	
510	286	246	225	
504	286	242	217	
495	280	240	205	
490	272	236	208	
482	267	235	196	
475	267	230	196	
468	264	228	193	
460	256	225	195	
449	251	224	182	
448	251	216	170	
440	247	215	168	
429	240	206	166	
422	226	213	180	
414	224	210	171	
408	221	206	166	
404	217	203	160	
398	211	188	153	
393	211	184	150	
393	209	184	152	
385	208	186	145	
381	204	179	145	
373	202	179	132	
368	200	176	134	
363	193	172	135	
359	192	169	127	
353	184	167	121	
348	184	163	121	
343	182	161	121	
338	177	162	120	
333	176	157	119	
328	175	154	116	
324	172	152	106	
321	168	149	106	
315	166	148	108	
313	164	145	106	
308	160	139	104	
305	156	140	104	
300	156	136	98	
299	152	134	99	
293	152	133	96	
289	148	128	93	
284	146	131	91	
279	144	128	94	
275	142	125	91	
272	139	125	88	
268	136	125	89	
260	135	125	86	
260	132	124	88	
257	130	121	87	
253	128	118	88	
250	127	117	86	
249	124	113	86	
244	123	113	84	
236	121	112	80	
236	120	113	81	
234	120	108	78	
228	116	110	79	
225	117	108	76	
220	115	109	76	
216	112	109	72	
212	108	109	74	
208	108	109	74	
200	108	113	72	
196	107	111	72	
190	105	113	70	
190	104	109	71	
180	102	119	70	
180	100	110	71	
176	100	109	69	
168	99	113	68	
161	97	113	68	
157	97	113	68	
147	97	118	65	
140	96	120	64	
135	96	119	62	
127	96	122	61	
126	95	118	62	
120	92	119	63	
112	93	119	61	
105	92	120	61	
99	92	120	60	
92	92	121	58	
79	92	128	58	
75	92	126	58	
67	92	126	58	
56	94	131	55	
48	93	133	56	
44	89	130	61	
30	91	135	60	
27	91	131	60	
16	89	136	61	
11	92	132	57	
0	92	137	60	
0	91	128	61	
0	91	120	55	
0	92	112	54	
0	92	97	54	
0	95	95	51	
0	93	87	53	
0	94	80	54	
0	96	73	52	
0	95	64	53	
0	95	56	52	
838	136	46	66	
831	136	36	75	
828	136	37	77	
824	137	38	85	
814	139	45	87	
818	139	38	76	
832	138	41	69	
832	139	41	71	
832	134	41	78	
829	134	43	86	
828	135	44	85	
828	135	44	85	
825	136	83	84	
822	136	53	84	
817	137	91	55	
817	137	91	63	
816	136	92	68	
815	136	94	70	
814	136	49	86	
811	137	55	83	
802	138	61	85	
802	138	61	84	
801	138	50	72	
801	137	50	73	
793	137	54	73	
789	137	52	75	
789	137	52	75	
786	137	52	64	
783	149	51	53	
776	139	49	65	
775	140	49	64	
770	142	47	61	
770	142	47	63	
766	141	49	65	
764	140	48	66	
762	141	54	65	
759	141	54	66	
755	141	56	66	
752	145	56	63	
748	145	58	63	
746	145	55	64	
528	149	49	71	
743	145	55	64	
523	148	48	67	
735	144	60	65	
523	148	48	67	
735	144	58	65	
517	149	65	65	
733	144	57	65	
732	147	59	62	
516	149	63	58	
512	149	64	58	
508	152	57	54	
508	152	58	65	
508	152	55	65	
508	153	56	54	
505	150	59	58	
505	148	59	60	
504	149	59	57	
504	149	59	57	
500	149	63	57	
498	150	59	56	
493	150	64	64	
488	149	48	62	
488	148	48	64	
488	148	48	61	
485	147	46	60	
478	146	49	62	
472	146	47	61	
472	146	48	61	
467	147	40	73	
462	146	42	74	
456	145	45	63	
457	145	44	60	
667	152	66	57	
446	144	55	61	
666	154	59	54	
445	142	56	61	
664	154	66	54	
448	141	53	60	
448	142	52	58	
447	143	53	57	
444	143	55	59	
442	142	57	60	
440	141	56	58	
437	140	59	57	
436	137	59	60	
435	136	58	61	
434	136	59	61	
434	136	56	61	
434	137	56	60	
647	153	64	55	
643	157	74	52	
641	157	76	51	
641	157	76	51	
639	156	78	52	
623	152	57	51	
612	156	35	75	
609	158	42	75	
609	158	42	69	
606	157	41	73	
0	93	61	46	
0	92	68	47	
0	92	75	47	
0	92	82	47	
0	90	89	49	
0	90	96	49	
0	89	102	50	
0	89	111	50	
535	154	54	50	
0	86	117	53	
0	84	123	54	
8	84	122	54	
14	84	122	53	
19	84	124	53	
529	152	52	54	
26	84	123	53	
528	153	51	52	
34	85	128	51	
528	153	51	52	
39	85	123	51	
520	152	59	54	
44	84	124	52	
520	155	58	51	
51	83	123	53	
518	154	59	52	
58	83	122	53	
517	152	57	54	
64	83	123	54	
517	152	56	54	
70	82	122	55	
516	153	56	54	
76	82	122	54	
513	153	58	52	
96	80	109	56	
513	153	58	54	
95	82	115	53	
514	152	57	55	
97	81	119	54	
514	152	57	55	
97	80	124	56	
514	151	57	56	
103	82	124	54	
514	152	56	55	
107	81	124	53	
514	153	56	54	
111	80	126	55	
514	153	56	54	
116	80	126	56	
514	151	56	56	
120	80	126	56	
514	151	56	56	
133	80	122	57	
514	151	56	56	
133	80	122	57	
514	153	57	54	
135	81	125	56	
514	151	56	56	
142	82	122	54	
513	151	57	56	
146	84	122	55	
513	151	57	56	
147	84	125	57	
513	151	55	56	
154	84	122	57	
513	148	55	59	
161	83	119	59	
508	148	57	58	
165	84	119	58	
508	148	56	58	
166	84	122	57	
508	152	57	54	
173	84	118	58	
508	152	56	54	
175	85	119	58	
508	154	57	52	
177	85	120	58	
508	152	56	55	
784	96	39	84	
177	84	124	60	
507	153	57	54	
779	91	65	104	
183	84	121	61	
507	154	54	53	
780	91	97	104	
188	84	119	62	
507	152	55	55	
780	91	97	105	
196	86	115	61	
507	152	54	55	
780	91	97	105	
196	86	116	61	
508	153	50	54	
780	91	52	105	
199	85	116	63	
508	152	49	55	
780	91	96	105	
203	84	115	65	
508	152	49	55	
780	91	96	105	
203	85	117	64	
505	152	51	55	
780	91	55	107	
206	86	116	66	
505	152	51	56	
780	91	96	106	
207	88	117	63	
506	152	50	55	
779	91	66	107	
211	87	115	65	
506	152	48	55	
779	91	100	107	
213	87	113	65	
780	91	99	108	
215	87	113	66	
780	92	98	107	
214	87	116	67	
780	91	67	108	
220	87	110	68	
781	92	97	107	
220	87	111	69	
779	92	97	104	
220	90	112	67	
779	92	65	106	
226	90	108	69	
500	151	46	57	
781	92	95	107	
223	89	111	69	
780	91	98	108	
229	89	105	71	
781	91	97	108	
231	92	103	68	
780	91	98	108	
231	89	104	73	
781	91	95	107	
233	89	102	73	
781	91	97	107	
236	92	99	70	
487	148	44	59	
781	91	95	107	
235	92	100	70	
781	91	95	107	
236	89	99	74	
781	91	97	107	
237	89	98	74	
781	92	95	106	
240	89	95	75	
779	91	65	107	
240	92	95	72	
668	216	37	71	
780	91	98	108	
242	89	116	76	
670	212	37	77	
482	147	41	70	
780	92	98	107	
242	89	114	76	
480	147	40	68	
779	92	65	107	
244	89	110	76	
674	216	42	82	
780	92	98	107	
244	92	109	74	
681	219	46	80	
779	92	65	107	
245	92	105	74	
685	220	45	99	
780	92	98	107	
249	92	99	75	
685	220	45	88	
780	92	98	106	
249	92	97	75	
692	221	42	98	
780	92	98	94	
246	92	100	74	
696	221	42	79	
780	92	63	101	
247	93	95	74	
699	220	43	81	
250	93	91	74	
780	92	98	74	
704	224	43	85	
245	93	95	75	
780	91	57	75	
709	230	45	90	
246	95	93	74	
780	91	97	74	
710	230	44	90	
246	95	91	74	
780	91	98	75	
716	231	42	99	
250	95	86	74	
780	91	53	75	
720	232	42	64	
250	95	86	74	
780	91	64	75	
722	229	44	71	
250	95	87	74	
780	91	97	75	
725	231	43	71	
780	92	97	102	
247	95	90	73	
727	231	45	73	
456	141	43	61	
780	92	97	102	
247	95	89	73	
733	233	43	74	
780	92	97	84	
250	95	86	73	
736	238	48	73	
452	140	44	62	
780	91	53	103	
250	95	88	73	
740	240	47	71	
452	140	43	63	
780	92	97	100	
250	95	88	73	
746	239	46	75	
450	139	45	64	
781	92	96	84	
251	95	87	73	
750	239	46	78	
448	136	47	67	
781	91	63	103	
251	95	87	73	
755	239	47	79	
444	136	47	67	
251	95	87	73	
781	92	96	68	
759	241	49	78	
446	136	45	67	
251	95	88	73	
780	92	97	68	
765	242	48	79	
441	136	49	61	
251	95	89	73	
780	91	52	69	
771	245	45	75	
440	135	50	62	
251	90	92	78	
780	91	97	69	
780	249	43	78	
437	135	52	60	
252	95	92	72	
780	249	44	78	
437	135	52	60	
252	95	91	72	
789	251	43	83	
436	136	53	59	
252	95	92	72	
789	250	45	84	
434	136	55	59	
252	95	92	72	
792	250	48	87	
252	95	93	72	
796	250	49	91	
251	91	94	77	
800	252	50	91	
251	92	94	76	
804	254	52	90	
251	91	94	77	
808	256	62	91	
