0	192	30	67	
0	192	32	78	
0	187	46	84	
0	182	58	89	
0	168	66	101	
0	156	80	112	
0	145	92	121	
0	140	106	126	
0	120	124	144	
0	120	124	142	
0	114	134	146	
0	114	144	143	
0	112	153	144	
0	111	161	143	
0	110	170	143	
0	106	178	144	
0	104	186	149	
0	97	197	162	
0	97	192	160	
0	95	205	159	
0	228	46	25	
0	94	210	158	
0	93	216	160	
0	190	72	64	
0	90	221	157	
0	88	224	163	
0	164	89	86	
54	84	174	158	
0	144	191	105	
54	81	176	137	
0	81	232	167	
0	80	234	165	
12	79	224	163	
22	80	215	162	
32	172	158	67	
57	74	181	134	
36	151	154	85	
59	72	180	135	
44	152	115	84	
148	178	42	39	
72	72	168	133	
50	156	140	77	
73	72	169	131	
46	103	24	49	
54	70	186	156	
62	69	180	154	
68	94	114	127	
97	70	143	130	
72	68	168	149	
80	68	160	147	
82	67	157	147	
89	64	150	148	
92	64	147	144	
98	87	89	122	
121	64	118	133	
102	85	85	122	
121	64	117	133	
104	87	84	117	
192	138	40	59	
124	60	113	84	
108	58	128	143	
110	60	124	139	
110	58	120	138	
116	58	112	137	
118	56	110	136	
118	58	108	132	
118	56	94	133	
122	56	89	130	
123	56	88	128	
122	54	89	129	
122	52	88	130	
122	53	88	125	
123	52	87	126	
123	79	63	97	
192	90	31	83	
136	52	75	28	
125	86	61	89	
192	104	29	66	
136	52	72	24	
126	89	60	84	
192	109	28	60	
136	52	72	24	
127	90	59	82	
192	109	28	58	
136	51	72	25	
128	89	57	81	
192	100	28	66	
136	49	72	27	
131	113	54	55	
192	100	28	65	
136	49	70	27	
136	113	49	54	
192	100	26	61	
136	48	70	29	
136	114	50	50	
192	100	26	60	
132	48	74	44	
135	114	50	49	
192	97	25	61	
132	48	72	44	
135	114	50	48	
192	105	23	52	
132	47	74	45	
135	112	50	48	
192	94	24	62	
132	46	72	46	
135	104	51	55	
191	96	24	60	
132	45	67	47	
136	109	50	48	
191	96	24	60	
132	45	70	31	
191	92	24	64	
